Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),"PRNT do calcário
",Classe
0.81,0.73,0.31,0.65,0.03,0.43,0.81,0.65,0.04,0.72,0.45,0.38,0.53,157
0.1,0.44,0.11,0.35,0.94,1.0,0.19,0.17,0.97,0.29,0.99,0.9,0.84,194
0.18,0.12,0.47,0.68,0.72,0.64,0.28,0.01,0.32,0.97,1.0,0.19,0.48,98
0.89,0.02,0.52,0.3,0.46,0.59,0.83,0.83,0.38,0.29,0.21,0.54,0.66,2
0.1,0.46,0.11,0.95,0.09,0.72,0.53,0.38,0.82,0.13,0.36,0.04,0.07,159
0.6,0.2,0.92,0.24,0.76,0.56,0.99,0.35,0.85,0.38,0.41,0.17,0.61,7
0.0,0.92,0.86,0.76,0.31,0.96,0.42,0.99,0.32,0.94,0.92,0.97,0.74,52
0.96,0.22,0.23,0.04,0.14,0.79,0.24,0.49,0.12,0.14,0.29,0.36,0.66,68
0.21,0.37,0.74,0.56,0.74,0.07,0.8,1.0,0.68,0.35,0.26,0.43,0.35,85
0.92,0.65,0.34,0.35,0.18,0.74,0.63,0.99,0.53,0.15,0.13,0.67,0.62,131
0.19,0.05,0.02,0.76,0.98,0.67,0.17,0.56,0.76,0.99,0.47,0.27,0.82,32
0.86,0.76,0.56,0.75,0.42,0.26,0.31,0.06,0.64,0.72,0.9,0.63,0.17,128
0.05,0.76,0.44,0.99,0.3,0.57,0.51,0.93,0.78,0.27,0.96,0.82,0.35,100
0.73,0.1,0.6,0.21,0.8,0.4,0.27,0.55,0.82,0.52,0.67,0.72,0.94,4
0.46,0.44,0.72,0.2,0.54,0.54,0.59,0.97,0.08,0.87,0.4,0.84,0.48,73
0.84,0.14,0.25,0.29,0.65,0.22,0.22,0.58,0.4,0.6,0.36,0.56,0.41,16
0.49,0.84,0.05,0.6,0.31,0.9,0.65,0.44,0.24,0.71,0.06,0.11,0.34,172
0.28,0.13,0.56,0.92,0.68,0.95,0.11,0.09,0.46,0.47,0.72,0.5,0.69,51
0.0,0.9,0.26,0.2,0.7,0.35,0.29,0.76,0.76,0.03,0.85,0.33,0.33,99
0.51,0.54,0.4,0.39,0.88,0.04,0.19,0.83,0.91,0.68,0.28,0.31,0.61,45
0.2,0.39,0.81,0.28,0.56,0.41,0.01,0.82,0.42,0.5,0.26,0.41,0.92,59
0.51,0.69,0.94,0.14,0.56,0.12,0.62,0.15,0.52,0.55,0.17,0.73,0.17,149
0.65,0.64,0.15,0.99,0.26,0.2,0.15,0.15,0.06,0.51,0.31,0.92,0.9,90
0.55,0.11,1.0,0.93,0.37,0.75,0.15,0.81,0.39,0.99,0.19,0.95,0.82,73
0.83,0.83,0.74,0.15,1.0,0.57,1.0,0.8,0.46,0.32,0.6,0.43,0.17,162
0.01,0.05,0.33,0.55,0.97,0.29,0.37,0.66,0.37,0.11,0.3,0.02,0.17,61
0.31,0.6,0.84,0.76,0.77,0.45,0.49,0.49,0.06,0.85,0.88,0.38,0.08,112
0.02,0.9,0.87,0.6,0.93,0.24,0.56,0.51,0.09,0.82,0.15,0.56,0.96,170
0.14,1.0,0.09,0.43,0.35,0.17,0.93,0.96,0.4,0.17,0.08,0.37,0.26,99
0.27,0.77,0.63,0.44,0.02,0.35,0.31,0.87,0.83,0.06,0.55,0.53,0.02,86
0.72,0.44,0.33,0.95,0.91,0.27,0.76,0.22,0.14,0.43,0.6,0.81,0.48,90
0.98,0.28,0.72,0.57,0.81,0.36,0.06,0.62,0.04,0.6,0.09,0.07,0.24,81
0.42,0.34,0.2,0.93,0.3,0.7,0.93,0.77,0.36,0.57,0.06,0.56,0.03,158
0.92,0.87,0.79,0.59,0.88,0.09,0.65,0.66,0.16,0.92,0.77,0.23,0.05,127
0.4,0.62,0.52,0.17,0.76,0.8,0.57,0.75,0.73,0.53,0.22,0.67,0.66,133
0.8,0.25,0.38,0.78,0.23,0.73,0.88,0.66,0.37,0.42,0.57,0.24,0.09,158
0.99,0.17,0.77,0.77,0.07,0.54,0.19,0.43,0.25,0.53,0.35,0.7,0.37,15
0.68,0.34,0.55,0.73,0.81,0.04,0.1,0.45,0.54,0.76,0.4,0.74,0.97,31
0.88,0.93,0.03,0.87,0.79,0.95,0.52,0.67,0.96,0.33,0.72,0.99,0.91,102
0.63,0.52,0.3,0.49,0.28,0.23,0.98,0.71,0.17,0.77,0.2,0.39,0.23,157
0.69,0.07,0.42,0.7,0.2,0.95,0.24,0.97,0.36,0.46,0.36,0.79,0.68,66
0.73,0.14,0.65,0.18,0.64,0.58,0.69,0.52,0.1,0.18,0.98,0.64,0.2,161
0.71,0.87,0.2,0.3,0.4,0.55,0.54,0.28,0.86,0.92,0.67,0.41,0.29,190
0.92,0.18,0.72,0.16,0.61,0.82,0.05,0.21,0.29,0.92,0.22,0.41,0.44,80
0.11,0.06,0.39,0.33,0.4,0.58,0.8,0.92,0.77,0.44,0.84,0.92,0.91,4
0.63,0.43,0.88,0.82,0.8,0.34,0.86,0.24,0.89,0.97,0.57,0.66,0.98,9
0.51,0.3,0.56,0.62,0.06,0.49,0.89,0.17,0.54,0.37,0.3,0.72,0.16,125
0.79,0.84,0.43,0.27,0.59,0.87,0.14,0.67,0.83,0.21,0.68,0.19,0.16,193
0.43,0.42,0.52,0.41,0.1,0.12,0.74,0.48,0.23,0.05,0.69,0.06,0.44,113
0.01,0.19,0.04,0.87,0.93,0.02,0.18,0.73,0.25,0.06,0.51,0.53,0.43,61
0.25,0.6,0.6,0.63,0.84,0.67,0.58,0.52,0.55,0.57,0.22,0.19,0.73,7
0.46,0.6,0.44,0.1,0.41,0.57,0.77,0.14,0.32,0.58,0.5,0.14,0.31,174
0.41,0.71,0.04,0.71,0.62,0.47,0.25,0.23,0.47,0.37,0.92,0.63,0.93,55
0.88,0.86,0.48,0.95,0.96,0.28,0.15,0.7,0.46,0.68,0.91,0.89,0.59,101
0.41,0.7,0.01,0.99,0.41,0.0,0.57,0.52,0.88,0.24,0.64,0.64,0.68,105
0.58,0.17,0.89,0.1,0.14,0.22,0.34,0.09,0.22,0.89,0.64,0.03,0.55,79
0.83,0.3,0.47,0.04,0.24,0.05,0.72,0.45,0.35,0.94,0.76,0.79,0.37,175
0.8,0.42,0.32,0.33,0.84,0.89,0.63,0.81,0.27,0.8,0.03,0.4,0.04,172
0.38,0.9,0.09,0.63,0.57,0.96,0.54,0.69,0.41,0.99,0.08,0.15,0.05,172
0.62,0.62,0.92,0.81,0.51,0.61,0.47,0.46,0.11,0.47,0.36,0.23,0.79,97
0.61,0.37,0.91,0.77,0.32,0.09,0.5,0.64,0.75,0.75,0.27,0.79,0.78,44
0.13,0.87,0.13,0.92,0.52,0.47,0.83,0.71,0.06,0.34,0.39,0.5,0.94,169
0.46,0.49,0.31,0.77,0.33,0.13,0.33,0.85,0.97,0.15,0.82,0.11,0.3,34
0.51,0.4,0.0,0.23,0.43,0.44,0.62,0.6,0.27,0.78,0.46,0.44,0.48,188
0.19,0.22,0.3,0.67,0.96,0.46,0.18,0.84,0.33,0.21,0.56,0.82,0.87,75
0.24,0.27,0.34,0.57,0.79,0.97,0.07,0.29,0.05,0.43,0.44,0.32,0.38,186
0.07,0.32,0.38,0.17,0.49,0.59,0.24,0.82,0.88,0.85,0.23,0.57,0.11,33
0.31,0.06,0.34,0.1,0.23,0.92,0.2,0.44,0.75,0.37,0.29,0.74,0.19,181
0.49,0.42,0.01,0.13,0.19,0.59,0.84,0.77,0.37,0.61,0.12,0.88,0.7,147
0.66,0.24,0.6,0.77,0.65,0.08,0.22,0.85,0.69,0.33,0.47,0.62,0.14,33
0.06,0.86,0.45,0.16,0.16,0.93,0.83,0.68,0.77,0.64,0.08,0.75,0.72,132
0.14,0.79,0.67,0.51,0.81,0.01,0.08,0.27,0.55,0.25,0.03,0.4,0.13,121
0.91,0.15,0.2,0.27,0.88,0.32,0.23,0.55,0.62,0.02,0.35,0.05,0.06,81
0.97,0.09,0.35,0.84,0.01,0.46,0.02,0.18,0.42,0.11,0.5,0.27,0.83,129
0.28,0.8,0.35,0.8,0.93,0.49,0.17,0.5,0.83,0.12,0.66,0.66,0.39,180
0.6,0.21,0.29,0.01,0.63,0.13,0.0,0.2,0.54,0.25,0.7,0.54,0.48,69
0.42,0.27,0.31,0.62,0.33,0.37,0.18,0.61,0.15,0.53,0.57,0.82,0.55,74
0.89,0.95,0.81,0.43,0.95,0.21,0.21,0.36,0.7,0.51,0.9,0.43,0.44,101
0.33,0.08,0.61,0.22,0.05,0.18,0.8,0.44,0.61,0.45,0.51,0.52,0.39,140
0.33,0.35,0.16,0.99,0.87,0.96,0.34,0.64,0.72,0.08,0.48,0.18,0.91,50
0.17,0.2,0.63,0.14,0.44,0.33,0.69,0.97,0.98,0.63,0.91,0.01,0.41,20
0.74,0.26,0.51,0.03,0.32,0.7,0.63,0.36,0.27,0.65,0.75,0.85,0.13,161
0.88,0.02,0.52,0.56,0.29,0.2,0.18,0.67,0.98,0.79,0.01,0.2,0.74,45
0.34,0.8,0.72,0.18,0.84,0.14,0.19,0.0,0.4,0.72,0.24,0.92,0.28,135
0.7,0.16,0.58,0.39,0.21,0.91,0.51,0.71,0.49,0.84,0.4,0.62,0.53,66
0.85,0.25,0.2,0.83,0.28,0.12,0.59,0.48,0.85,0.86,0.7,0.42,0.71,30
0.33,0.84,0.88,0.67,0.79,0.1,0.16,0.93,0.44,0.59,0.77,0.43,0.61,57
0.13,1.0,0.09,0.89,0.35,0.66,0.24,0.07,0.59,0.18,0.57,0.48,0.83,105
0.55,0.76,0.45,0.05,0.16,0.36,0.67,0.35,0.16,0.98,0.62,0.25,0.63,189
0.46,0.55,0.71,0.3,0.13,0.75,0.52,0.4,0.97,0.03,0.22,0.82,0.17,152
0.56,0.08,0.6,0.96,0.04,0.69,0.03,0.57,0.16,0.36,0.98,0.71,0.26,129
0.12,0.44,0.45,0.52,0.63,0.39,0.84,0.16,0.86,0.11,0.26,0.29,0.06,120
0.32,0.7,0.65,0.33,0.55,0.44,0.01,0.22,0.4,0.48,0.29,0.85,0.36,78
0.38,0.43,0.75,0.67,0.53,0.69,0.37,0.03,0.88,0.51,0.02,0.85,0.26,137
0.59,0.14,0.54,0.41,0.22,0.08,0.62,0.86,0.81,0.24,0.17,0.18,0.95,45
0.42,0.8,1.0,0.28,0.83,0.8,0.37,0.76,0.26,0.43,0.93,0.47,0.45,87
0.84,0.32,0.8,0.9,0.74,0.52,0.76,0.13,0.13,0.39,0.72,0.18,0.38,112
0.13,0.57,0.79,0.23,0.44,0.2,0.76,0.91,0.4,0.42,0.01,0.36,0.07,85
0.63,0.92,0.26,0.35,0.3,0.93,0.59,0.55,0.29,0.46,0.35,0.69,0.93,118
0.67,0.4,0.79,0.99,0.5,0.29,0.62,0.92,0.31,0.79,0.53,0.42,0.4,43
0.04,0.22,0.81,0.77,0.5,0.53,0.97,0.04,0.04,0.47,0.34,0.35,0.97,37
0.22,0.28,0.31,0.12,0.39,0.05,0.71,0.76,0.59,0.61,0.02,0.61,0.88,45
0.75,0.84,0.77,0.72,0.65,0.72,0.07,0.23,0.78,0.15,0.57,0.81,0.35,151
0.17,0.68,0.87,0.93,0.41,0.11,0.76,0.99,0.83,0.58,0.08,0.33,0.15,85
0.7,0.74,0.01,0.78,0.99,0.91,0.96,0.65,0.33,0.04,0.64,0.62,0.94,183
0.56,0.54,0.6,0.65,0.1,0.37,0.74,0.11,0.74,0.33,0.91,0.92,0.4,42
0.01,0.02,0.52,0.31,0.09,0.01,0.75,0.61,0.24,0.98,0.29,0.06,0.57,157
0.98,0.05,0.52,0.6,0.78,0.57,0.26,0.37,0.55,0.55,0.65,0.61,0.62,67
0.31,0.58,0.25,0.98,0.15,0.68,0.22,0.96,0.72,0.23,0.62,0.32,0.06,159
0.94,0.37,0.4,0.35,0.11,0.78,0.32,0.31,0.52,0.83,0.29,0.02,0.87,66
0.56,0.77,0.67,0.9,0.63,0.11,0.78,0.25,0.27,0.6,0.92,0.78,0.95,42
0.42,0.56,0.52,0.93,0.88,0.88,0.24,0.43,0.17,0.29,0.72,0.71,0.64,40
0.93,0.62,0.76,0.36,0.57,0.37,0.06,0.19,0.83,0.59,0.18,0.75,0.11,136
0.06,0.37,0.85,0.06,0.81,0.14,0.95,0.83,0.61,0.57,0.11,0.15,0.71,7
0.82,0.94,0.28,0.81,0.65,0.69,0.17,0.87,0.46,0.72,0.19,0.93,0.08,88
0.65,0.71,0.09,0.01,0.51,0.59,0.02,0.29,0.55,0.69,0.57,0.95,0.72,116
0.68,0.69,0.42,0.16,0.78,0.91,0.04,0.51,0.55,0.5,0.39,0.29,0.78,184
0.26,0.77,0.75,0.74,0.65,0.94,0.09,0.4,0.35,0.86,0.37,0.7,0.88,52
0.88,0.09,0.78,0.85,0.63,0.51,0.79,0.24,0.21,0.35,0.19,0.85,0.96,25
0.57,0.21,0.99,0.3,0.81,0.58,0.37,0.98,0.16,0.48,0.43,0.1,0.45,81
0.63,0.24,0.78,0.13,0.04,0.77,0.06,0.19,0.21,0.11,0.56,0.06,0.92,94
0.64,0.82,0.68,0.4,0.5,0.21,0.18,0.09,0.72,0.19,0.06,0.27,0.44,108
0.63,0.25,0.13,0.86,0.82,0.11,0.48,0.56,0.93,0.73,0.84,0.79,0.97,18
0.65,0.99,0.4,0.36,0.29,0.66,0.59,0.23,0.44,0.3,0.28,0.81,0.3,148
0.14,0.53,0.39,0.52,0.12,0.21,0.37,0.12,0.82,0.27,0.95,0.81,0.83,56
0.35,0.44,0.58,0.13,0.6,0.7,0.12,0.54,0.27,0.53,0.09,0.33,0.47,186
0.01,0.97,0.98,0.53,0.41,0.94,0.93,0.57,0.69,0.37,0.08,0.41,0.66,22
0.49,0.64,0.55,0.07,0.8,0.41,0.65,0.08,0.51,0.95,0.72,0.65,0.61,163
0.19,0.79,0.23,0.19,0.51,0.96,0.03,0.32,0.38,0.85,0.78,0.45,0.75,52
0.48,0.81,0.73,0.12,0.43,0.51,0.16,0.87,0.68,0.35,0.9,0.95,0.12,87
0.46,0.89,0.03,0.23,0.68,0.61,0.46,0.87,0.26,0.11,0.8,0.83,0.11,100
0.89,0.06,0.36,0.18,0.91,0.48,0.65,0.38,0.75,0.89,0.77,0.27,0.66,17
0.61,0.3,0.96,0.48,0.54,0.39,0.37,0.19,0.26,0.82,0.35,0.21,0.75,79
0.45,0.64,0.95,0.25,0.88,0.63,0.05,0.05,0.76,0.68,0.39,0.46,0.51,164
0.74,0.79,0.4,0.08,0.93,0.98,0.16,0.12,0.46,0.33,0.92,0.26,0.7,193
0.09,0.41,0.22,0.47,0.74,0.14,0.35,0.28,0.14,0.49,0.29,0.25,0.37,182
0.23,0.9,0.85,1.0,0.9,0.6,0.07,0.14,0.38,0.52,0.9,0.79,0.62,91
0.03,0.4,0.38,0.96,0.42,0.53,0.55,0.63,0.99,0.76,0.65,0.05,0.64,21
0.19,0.36,0.06,0.81,0.37,0.51,0.13,0.1,0.13,0.95,0.11,0.17,0.09,173
0.41,0.26,0.43,0.31,0.68,0.48,0.65,0.73,0.89,0.06,0.56,0.8,0.46,48
0.32,0.86,0.61,0.83,0.32,0.94,0.09,0.94,0.61,0.59,0.02,0.32,0.59,72
0.95,0.06,0.48,0.92,0.65,0.42,0.28,0.79,0.35,0.99,0.1,0.73,0.65,30
0.25,0.37,0.89,0.4,0.78,0.66,0.34,0.45,0.75,0.43,0.92,0.6,0.05,165
0.51,0.18,1.0,0.69,0.58,0.02,0.06,0.66,0.37,0.83,0.28,0.07,0.48,43
0.24,0.68,0.81,0.24,0.93,0.37,0.02,0.25,0.14,0.51,0.49,0.31,0.01,92
0.82,0.48,0.54,0.41,0.57,0.78,0.2,0.41,0.05,0.22,0.93,0.35,0.22,68
0.17,0.62,0.96,0.7,0.65,0.47,0.79,0.74,0.2,0.5,0.57,0.21,0.04,85
0.49,0.43,0.27,0.48,0.6,0.49,0.9,0.56,0.08,0.53,0.02,0.12,0.83,183
0.17,0.26,0.99,0.64,0.88,0.51,0.23,0.44,0.21,0.27,0.45,0.29,0.14,92
0.22,0.65,0.47,0.19,0.52,0.26,0.16,0.26,0.27,0.0,0.68,0.39,0.99,93
0.55,0.39,0.46,0.95,0.44,0.88,0.82,0.95,0.58,0.79,0.88,0.33,0.01,158
0.82,0.96,0.9,0.31,0.4,0.78,0.32,0.43,0.42,0.48,0.39,0.82,0.61,13
0.83,0.23,0.2,0.25,0.77,0.92,0.77,0.95,0.33,0.78,0.93,0.31,1.0,3
0.73,0.44,0.69,0.6,0.61,0.45,0.87,0.06,0.21,0.96,0.85,0.33,0.85,39
0.56,0.11,0.63,0.04,0.54,0.94,0.09,0.28,0.15,0.41,0.14,0.67,0.44,67
0.11,0.82,0.73,0.01,0.41,0.95,0.53,0.53,0.75,0.71,0.76,0.14,0.17,177
0.83,0.06,0.41,0.32,0.73,0.57,0.46,0.38,0.81,0.52,0.6,0.69,0.17,195
0.07,0.64,0.61,0.42,0.42,0.05,0.62,0.12,0.95,0.4,0.8,0.86,0.29,120
0.07,0.47,0.76,0.08,0.27,0.82,0.4,0.03,0.57,0.94,0.59,0.17,0.72,65
0.04,0.2,0.02,0.02,0.75,0.99,0.48,0.31,0.64,0.06,0.07,0.38,0.69,63
0.45,0.3,0.38,0.27,0.38,0.62,0.6,0.01,0.79,0.4,0.68,0.13,0.02,196
0.58,0.93,0.61,0.5,0.05,0.27,0.32,0.82,0.77,0.26,0.91,0.88,0.88,117
0.24,0.81,0.16,0.83,0.8,0.81,0.17,0.07,0.89,0.4,0.18,0.02,0.98,50
0.97,0.75,0.25,0.43,0.17,0.19,0.4,0.47,0.1,0.37,0.92,0.16,0.54,114
0.97,0.49,0.95,0.56,0.07,0.26,0.14,0.75,0.55,0.59,0.55,0.64,0.14,72
0.08,0.58,0.7,0.68,0.38,0.15,0.67,0.35,0.69,0.87,0.31,0.24,0.73,8
0.39,0.55,0.57,0.48,0.63,0.92,0.84,0.84,0.95,0.58,0.27,0.11,0.23,7
0.69,0.3,0.02,0.13,0.03,0.66,0.43,0.84,0.63,0.15,0.85,0.76,0.52,130
0.24,0.25,0.31,0.38,0.45,0.58,0.94,0.2,0.43,0.59,1.0,0.13,0.67,35
0.45,0.91,0.29,0.73,0.5,0.85,0.25,0.14,0.52,0.38,0.74,0.76,0.1,180
0.02,0.18,0.9,0.06,0.94,0.06,0.03,0.83,0.8,0.37,0.47,0.22,0.59,59
0.53,0.63,0.32,0.13,0.19,0.76,0.06,0.24,0.95,0.11,0.98,0.89,0.15,166
0.66,0.96,0.99,0.75,0.29,0.92,0.86,0.06,0.12,0.94,0.37,0.43,0.41,38
0.95,0.67,0.61,0.57,0.62,0.97,0.48,0.23,0.52,0.5,0.32,0.52,0.22,164
0.01,0.52,0.19,0.36,0.95,0.29,0.3,0.48,0.03,0.63,0.6,0.49,0.59,170
0.86,0.04,0.96,0.23,0.99,0.84,0.91,0.81,0.15,0.31,0.57,0.29,0.65,81
0.81,0.08,0.04,0.13,0.56,0.5,0.5,0.19,0.37,0.15,0.72,0.09,0.37,83
0.73,0.76,0.36,0.37,0.09,0.66,0.5,0.64,0.89,0.05,0.57,0.18,0.41,130
0.24,0.14,0.61,0.34,0.13,0.19,0.23,0.43,0.44,0.09,0.58,0.05,0.53,94
0.05,0.45,0.07,0.39,0.82,0.88,0.22,0.93,0.39,0.43,0.63,0.73,0.06,195
0.23,0.16,0.82,0.78,0.41,0.77,0.32,0.65,0.85,0.52,0.66,0.35,0.43,20
0.39,0.64,0.42,0.3,0.18,0.53,0.88,0.09,0.1,0.96,0.98,0.31,0.72,189
0.18,0.23,0.72,0.44,0.32,0.53,0.65,0.76,0.79,0.09,0.81,0.14,0.44,34
0.38,0.81,0.15,0.1,0.39,0.85,0.27,0.63,0.87,0.98,0.87,0.22,0.44,190
0.08,0.81,0.97,0.54,0.98,0.0,0.99,0.35,0.99,0.86,0.78,0.79,0.74,6
0.31,0.31,0.72,0.1,0.59,0.3,0.2,0.7,0.74,0.8,0.96,0.98,0.87,4
0.62,0.63,0.8,0.16,0.39,0.72,0.25,0.28,0.29,0.35,0.37,0.11,0.87,80
0.01,0.87,0.14,0.61,0.12,0.76,0.67,0.91,0.17,0.31,0.86,0.04,0.55,145
0.63,0.74,0.26,0.86,0.48,0.36,0.65,1.0,0.74,0.3,0.05,0.27,0.8,169
0.8,0.77,0.23,0.13,0.36,0.18,0.2,0.36,0.72,0.67,0.68,0.57,0.96,116
0.82,0.03,0.47,0.47,0.78,0.36,0.14,0.13,0.76,0.99,0.72,0.28,0.29,98
0.79,0.34,0.42,0.57,0.0,0.85,0.37,0.12,0.76,0.34,0.55,0.15,0.54,83
0.18,0.44,0.44,0.52,0.09,0.29,0.18,1.0,0.57,0.89,0.07,0.71,0.23,73
0.62,0.64,0.07,0.4,0.78,0.36,0.21,0.37,0.88,0.22,0.14,0.76,0.52,63
0.89,0.66,0.84,0.82,0.24,0.15,0.86,0.68,0.9,1.0,0.78,0.07,0.55,43
0.79,0.51,0.43,0.2,0.37,0.98,0.9,0.88,0.12,0.05,0.21,0.06,0.58,145
0.52,0.88,0.96,0.68,0.92,0.74,0.74,0.82,0.42,0.84,0.36,0.49,0.88,170
0.43,0.75,0.01,0.52,0.48,0.2,0.16,0.09,0.7,0.57,0.04,0.42,0.95,63
0.14,0.37,0.81,0.21,0.41,0.04,0.77,0.46,0.06,0.41,0.38,0.79,0.71,154
0.5,0.68,0.47,0.67,0.79,0.66,0.81,0.01,0.23,0.39,0.89,0.86,0.91,41
0.14,0.6,0.01,0.28,1.0,0.63,0.36,0.97,0.91,0.5,0.13,0.87,0.71,133
0.09,0.48,0.38,0.83,0.45,0.77,0.23,0.64,0.1,0.94,0.51,0.62,0.72,52
0.19,0.71,0.37,0.47,0.31,0.08,0.58,0.73,0.18,0.15,0.62,0.49,0.63,100
0.31,0.75,0.63,0.91,0.41,0.68,0.97,0.64,0.18,0.36,0.62,0.95,0.74,28
0.68,0.95,0.24,0.35,0.39,0.77,0.07,0.79,0.96,0.3,0.26,0.65,0.4,117
0.15,0.69,0.7,0.69,0.12,0.27,0.05,0.36,0.69,0.61,0.82,0.97,0.14,166
0.73,0.15,0.42,0.39,0.8,0.5,0.07,0.28,0.71,0.47,0.4,0.88,0.55,63
0.59,0.97,0.55,0.39,0.54,0.02,0.36,0.96,0.67,0.73,0.05,0.7,0.32,71
0.47,0.25,0.02,0.03,0.8,0.37,0.72,0.87,0.49,0.24,0.32,0.41,0.44,47
0.76,0.36,0.44,0.11,0.25,0.69,0.2,0.75,0.08,0.91,0.17,0.21,0.36,171
0.88,0.07,0.7,0.58,0.45,0.76,0.54,0.68,0.98,0.06,0.05,0.22,0.6,95
0.07,0.13,0.22,0.46,0.26,0.14,0.97,0.8,0.3,0.8,0.83,0.0,0.83,157
0.04,0.43,0.92,0.18,0.14,0.6,0.52,0.45,0.09,0.07,0.35,0.53,0.41,154
0.26,0.48,0.58,0.85,0.58,0.0,0.17,0.09,0.5,0.95,0.56,0.44,0.1,98
0.46,0.41,0.21,0.6,0.14,0.3,0.1,0.81,0.64,0.57,0.22,0.69,0.84,45
0.65,0.75,0.49,0.46,0.56,0.47,0.16,0.27,0.53,0.53,0.25,0.27,0.52,185
0.21,0.6,0.37,0.24,0.28,0.41,0.85,0.51,0.94,0.12,0.4,0.78,0.14,134
0.53,0.32,0.14,0.48,0.31,0.45,0.79,0.0,1.0,0.13,0.77,0.76,0.09,195
0.07,0.53,0.55,0.7,0.27,0.84,0.68,0.14,0.37,0.92,0.65,0.96,0.79,38
0.61,0.97,0.57,0.77,0.59,0.94,0.6,0.65,0.27,0.9,0.23,0.3,0.48,171
0.04,0.6,0.98,0.29,0.19,0.55,0.29,0.83,0.53,0.11,0.86,0.89,0.55,153
0.99,0.28,0.89,0.59,0.69,0.6,0.5,0.0,0.59,0.32,0.86,0.2,0.98,84
0.1,0.99,0.5,0.08,0.34,0.19,0.55,0.27,0.91,0.4,0.41,0.64,0.29,120
0.13,0.9,0.8,0.63,0.79,0.44,0.14,0.37,0.38,0.19,0.93,0.34,0.82,92
0.77,0.6,0.99,0.44,0.8,0.29,0.48,0.17,0.5,0.65,0.78,0.98,0.53,12
0.47,0.36,0.71,0.05,0.6,0.24,0.03,0.27,0.92,0.05,0.73,0.07,0.22,94
0.75,0.57,0.88,0.0,0.99,0.49,0.99,0.2,0.34,0.69,0.03,0.68,0.09,149
0.09,0.97,0.38,0.48,0.5,0.75,0.92,0.82,0.62,0.06,0.41,0.2,0.07,99
0.75,0.04,0.11,0.47,0.37,0.22,0.15,0.13,0.2,0.34,0.38,0.28,0.93,70
0.02,0.35,0.17,0.25,0.65,0.83,0.18,0.32,0.21,0.27,0.38,0.67,0.63,63
0.07,0.14,0.3,0.7,0.31,0.2,0.86,0.16,0.99,0.92,0.67,0.47,0.08,6
0.79,0.66,0.92,0.41,0.52,0.74,0.37,0.56,0.76,0.63,0.11,0.55,0.43,136
0.64,0.58,0.07,0.84,0.35,0.08,0.85,0.21,0.28,0.96,0.63,0.98,0.51,90
0.03,0.09,0.47,0.07,0.38,0.98,0.65,0.56,0.34,0.29,0.26,0.55,0.98,132
0.72,0.54,0.16,0.77,0.44,0.13,0.8,0.16,0.72,0.1,0.59,0.27,0.72,142
0.04,0.6,0.8,0.4,0.03,0.84,0.98,0.98,0.54,0.47,0.74,0.85,0.93,132
0.82,0.44,0.34,0.06,0.01,0.69,0.75,0.81,0.94,0.22,0.03,0.61,0.86,131
0.23,0.17,0.37,0.21,0.23,0.12,0.29,0.13,0.04,0.56,0.55,0.59,0.55,168
0.06,0.23,0.38,0.75,0.94,0.34,0.15,0.69,0.57,0.35,0.41,0.34,0.14,61
0.36,0.75,0.56,0.75,0.7,0.84,0.7,0.18,0.71,0.77,0.06,0.85,0.06,178
0.25,0.82,0.22,0.87,0.54,0.43,0.44,0.24,0.06,0.1,0.62,0.75,0.29,91
0.51,0.92,0.57,0.39,0.24,0.12,0.5,0.4,0.39,0.53,0.68,0.76,0.41,162
0.56,0.93,0.38,0.77,0.44,0.43,0.45,0.42,0.84,0.07,0.73,0.01,0.31,113
0.84,0.28,0.03,0.52,0.93,0.87,0.37,0.46,0.01,0.64,0.17,0.72,0.92,183
0.41,0.16,0.38,0.35,0.75,0.24,0.1,0.32,0.88,0.14,0.75,0.41,0.93,48
0.14,0.48,0.53,0.57,0.79,0.45,0.48,0.53,0.0,0.03,0.3,0.08,0.87,183
0.6,0.45,0.8,0.77,0.51,0.39,0.04,0.28,0.97,0.62,0.87,0.34,0.75,84
0.41,0.15,0.27,0.89,0.7,0.55,0.9,0.79,0.21,0.92,0.96,0.15,0.05,158
0.14,0.82,0.98,0.88,0.46,0.75,0.07,0.98,0.47,0.28,0.74,0.03,0.49,72
0.24,0.73,0.81,0.19,0.38,0.2,0.33,0.24,0.7,0.86,0.37,0.9,0.3,135
0.06,0.92,0.78,0.91,0.67,0.4,0.35,0.19,0.77,0.52,0.83,0.49,0.62,106
0.38,0.41,0.19,0.31,0.53,0.11,0.45,0.58,0.54,0.88,0.48,0.22,0.68,45
0.61,0.09,0.42,0.85,0.2,0.05,0.33,0.66,0.57,0.76,0.5,0.12,0.34,29
0.27,0.96,0.78,0.29,0.44,0.17,0.35,0.03,0.86,0.08,0.5,0.13,0.09,107
0.26,0.72,0.47,0.51,0.74,0.45,0.04,0.69,0.37,0.63,0.61,0.12,0.81,155
